,name,class
0,16_Kristen_Stewart_0013.jpg,0
1,45_Famke_Janssen_0007.jpg,3
2,44_Alexis_Arquette_0003.jpg,3
3,59_Michael_Dorn_0009.jpg,4
4,40_Charlotte_Gainsbourg_0011.jpg,2
5,19_Alicia_Vikander_0007.jpg,0
6,39_Jennifer_Aniston_0004.jpg,2
7,46_Vin_Diesel_0012.jpg,3
8,17_Samantha_Barks_0007.jpg,0
9,29_Jake_Gyllenhaal_0013.jpg,1
10,44_Ian_Hart_0001.jpg,3
11,55_Sharon_Osbourne_0011.jpg,4
12,46_Nicolas_Cage_0013.jpg,3
13,48_Jeanne_Tripplehorn_0011.jpg,3
14,47_Clive_Owen_0004.jpg,3
15,35_Amy_Acker_0015.jpg,2
16,32_Alison_Lohman_0006.jpg,2
17,18_Jeremy_Sumpter_0005.jpg,0
18,34_Ryan_Phillippe_0017.jpg,2
19,50_Billy_Campbell_0011.jpg,3
20,16_Nikki_Blonsky_0003.jpg,0
21,36_Freddie_Prinze_Jr._0006.jpg,2
22,30_Jimmy_Fallon_0005.jpg,1
23,32_Bianca_Kajlich_0002.jpg,2
24,32_Rosamund_Pike_0008.jpg,2
25,46_Brian_Thompson_0011.jpg,3
26,35_Justin_Long_0002.jpg,2
27,25_Charlie_Hunnam_0014.jpg,1
28,41_Marisa_Tomei_0005.jpg,3
29,26_Elisha_Cuthbert_0006.jpg,1
30,23_Nikki_Reed_0010.jpg,1
31,59_Cindy_Morgan_0001.jpg,4
32,58_Michael_Dorn_0004.jpg,4
33,57_Sarah_Douglas_0004.jpg,4
34,35_Jimmy_Fallon_0001.jpg,2
35,38_Marissa_Ribisi_0008.jpg,2
36,34_Michael_C._Hall_0006.jpg,2
37,60_Charles_Martin_Smith_0003.jpg,4
38,40_Sacha_Baron_Cohen_0013.jpg,2
39,47_Annabella_Sciorra_0003.jpg,3
40,42_Olivia_d'Abo_0009.jpg,3
41,56_Fran_Drescher_0004.jpg,4
42,27_Stana_Katic_0017.jpg,1
43,27_Emily_Blunt_0010.jpg,1
44,37_Courtney_Thorne-Smith_0005.jpg,2
45,60_Frances_Conroy_0002.jpg,4
46,51_Henry_Rollins_0015.jpg,4
47,24_Zach_Roerig_0014.jpg,1
48,27_Justin_Timberlake_0001.jpg,1
49,34_Christina_Applegate_0001.jpg,2
50,26_Kunal_Nayyar_0014.jpg,1
51,35_Wil_Wheaton_0013.jpg,2
52,45_Julia_Louis-Dreyfus_0009.jpg,3
53,20_Penn_Badgley_0003.jpg,0
54,42_Brendan_Fraser_0003.jpg,3
55,42_Jeremy_Piven_0011.jpg,3
56,41_Spike_Jonze_0011.jpg,3
57,52_Mindy_Sterling_0004.jpg,4
58,47_Lori_Loughlin_0011.jpg,3
59,31_Russell_Brand_0008.jpg,2
60,50_Billy_Ray_Cyrus_0012.jpg,3
61,42_Michael_Sheen_0010.jpg,3
62,19_Kat_Dennings_0001.jpg,0
